dataset,cutoff,algorithm,seed,rank_auc
geis_250.00,1 visit,RF,27164,2.0
geis_250.00,1 visit,RF,9168,2.0
geis_250.00,1 visit,RF,11085,2.0
geis_250.00,1 visit,RF,3674,2.0
geis_250.00,1 visit,RF,1188,2.0
geis_250.00,1 visit,RF,4180,2.0
geis_250.00,1 visit,RF,7016,2.0
geis_250.00,1 visit,RF,16612,2.0
geis_250.00,1 visit,RF,30993,2.0
geis_250.00,1 visit,RF,14899,2.0
geis_250.00,1 visit,LR,14899,3.0
geis_250.00,1 visit,LR,30993,3.0
geis_250.00,1 visit,LR,11085,3.0
geis_250.00,1 visit,LR,16612,3.0
geis_250.00,1 visit,LR,9168,3.0
geis_250.00,1 visit,LR,1188,3.0
geis_250.00,1 visit,LR,4180,3.0
geis_250.00,1 visit,LR,3674,3.0
geis_250.00,1 visit,LR,7016,3.0
geis_250.00,1 visit,LR,27164,3.0
geis_250.00,1 visit,XGB,27164,1.0
geis_250.00,1 visit,XGB,16612,1.0
geis_250.00,1 visit,XGB,1188,1.0
geis_250.00,1 visit,XGB,30993,1.0
geis_250.00,1 visit,XGB,9168,1.0
geis_250.00,1 visit,XGB,11085,1.0
geis_250.00,1 visit,XGB,3674,1.0
geis_250.00,1 visit,XGB,7016,1.0
geis_250.00,1 visit,XGB,4180,1.0
geis_250.00,1 visit,XGB,14899,1.0
geis_250.00_cutoff182,6 months,RF,30993,2.0
geis_250.00_cutoff182,6 months,RF,1188,2.0
geis_250.00_cutoff182,6 months,RF,11085,2.0
geis_250.00_cutoff182,6 months,RF,14899,2.0
geis_250.00_cutoff182,6 months,RF,27164,2.0
geis_250.00_cutoff182,6 months,RF,4180,2.0
geis_250.00_cutoff182,6 months,RF,9168,2.0
geis_250.00_cutoff182,6 months,RF,16612,2.0
geis_250.00_cutoff182,6 months,RF,7016,2.0
geis_250.00_cutoff182,6 months,RF,3674,2.0
geis_250.00_cutoff182,6 months,LR,7016,3.0
geis_250.00_cutoff182,6 months,LR,4180,3.0
geis_250.00_cutoff182,6 months,LR,27164,3.0
geis_250.00_cutoff182,6 months,LR,14899,3.0
geis_250.00_cutoff182,6 months,LR,1188,3.0
geis_250.00_cutoff182,6 months,LR,3674,3.0
geis_250.00_cutoff182,6 months,LR,16612,3.0
geis_250.00_cutoff182,6 months,LR,30993,3.0
geis_250.00_cutoff182,6 months,LR,11085,3.0
