code	name	short.unique.name	short.name	shorter.name	abbrevs
718-7	Hemoglobin [Mass/volume] in Blood	Hemoglobin in Blood	Hemoglobin 	Hemoglobin 	HMviB
4544-3	Hematocrit [Volume Fraction] of Blood by Automated count	Hematocrit by Automated count	Hematocrit 	Hematocrit 	HVFoBbAc
787-2	Erythrocyte mean corpuscular volume [Entitic volume] by Automated count	Erythrocyte mean corpuscular volume	Erythrocyte mean corpuscular volume 	Erythrocyte mean	EmcvEvbAc
786-4	Erythrocyte mean corpuscular hemoglobin concentration [Mass/volume] by Automated count	Mean corpuscular hemoglobin concentration 	Erythrocyte mean corpuscular hemoglobin concentration 	Erythrocyte mean	EmchcMvbAc
785-6	Erythrocyte mean corpuscular hemoglobin [Entitic mass] by Automated count	Erythrocyte mean corpuscular hemoglobin	Erythrocyte mean corpuscular hemoglobin 	Erythrocyte mean	EmchEmbAc
6690-2	Leukocytes [#/volume] in Blood by Automated count	Leukocytes [#/volume] in Blood 	Leukocytes 	Leukocytes 	LviBbAc
789-8	Erythrocytes [#/volume] in Blood by Automated count	Erythrocytes [#/volume] in Blood	Erythrocytes 	Erythrocytes 	EviBbAc
788-0	Erythrocyte distribution width [Ratio] by Automated count	Erythrocyte distribution width 	Erythrocyte distribution width 	Erythrocyte distribution	EdwRbAc
32623-1	Platelet mean volume [Entitic volume] in Blood by Automated count	Platelet mean volume 	Platelet mean volume 	Platelet mean	PmvEviBbAc
777-3	Platelets [#/volume] in Blood by Automated count	Platelets [#/volume] in Blood 	Platelets 	Platelets 	PviBbAc
2345-7	Glucose [Mass/volume] in Serum or Plasma	Glucose [Mass/volume] in Serum or Plasma	Glucose 	Glucose 	GMviSoP
2160-0	Creatinine [Mass/volume] in Serum or Plasma	Creatinine [Mass/volume] in Serum or Plasma	Creatinine 	Creatinine 	CrtnMviSoP
2823-3	Potassium [Moles/volume] in Serum or Plasma	Potassium [Moles/volume] in Serum or Plasma	Potassium 	Potassium 	PtMviSoP
3094-0	Urea nitrogen [Mass/volume] in Serum or Plasma	Urea nitrogen [Mass/volume] in Serum or Plasma	Urea nitrogen 	Urea nitrogen	UnMviSoP
2951-2	Sodium [Moles/volume] in Serum or Plasma	Sodium [Moles/volume] in Serum or Plasma	Sodium 	Sodium 	SMviSoP
2075-0	Chloride [Moles/volume] in Serum or Plasma	Chloride [Moles/volume] in Serum or Plasma	Chloride 	Chloride 	ChlrMviSoP
2028-9	Carbon dioxide, total [Moles/volume] in Serum or Plasma	Carbon dioxide [Moles/volume] in Serum or Plasma	Carbon dioxide	Carbon dioxide	CdtMviSoP
17861-6	Calcium [Mass/volume] in Serum or Plasma	Calcium [Mass/volume] in Serum or Plasma	Calcium 	Calcium 	ClcmMviSoP
1743-4	Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P	Alanine aminotransferase [Enzymatic activity/volume] 	Alanine aminotransferase 	Alanine aminotransferase	AlaEaviSoPbWP5P
30239-8	Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P	Aspartate aminotransferase [Enzymatic activity/volume]	Aspartate aminotransferase 	Aspartate aminotransferase	AsaEaviSoPbWP5P
1975-2	Bilirubin.total [Mass/volume] in Serum or Plasma	Bilirubin.total [Mass/volume] in Serum or Plasma	Bilirubin	Bilirubin	BtMviSoP
2885-2	Protein [Mass/volume] in Serum or Plasma	Protein [Mass/volume] in Serum or Plasma	Protein 	Protein 	PrtMviSoP
10466-1	Anion gap 3 in Serum or Plasma	Anion gap 3 in Serum or Plasma	Anion gap 3 in Serum or Plasma	Anion gap	Ag3iSoP
751-8	Neutrophils [#/volume] in Blood by Automated count	Neutrophils [#/volume] in Blood by Automated count	Neutrophils 	Neutrophils 	NviBbAc
2093-3	Cholesterol [Mass/volume] in Serum or Plasma	Cholesterol [Mass/volume] in Serum or Plasma	Cholesterol 	Cholesterol 	ChlsMviSoP
2571-8	Triglyceride [Mass/volume] in Serum or Plasma	Triglyceride [Mass/volume] in Serum or Plasma	Triglyceride 	Triglyceride 	TrMviSoP
2085-9	Cholesterol in HDL [Mass/volume] in Serum or Plasma	Cholesterol in HDL [Mass/volume] in Serum or Plasma	Cholesterol in HDL 	Cholesterol in	CiHMviSoP
13457-7	Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation	Cholesterol in LDL [Mass/volume] by calculation	Cholesterol in LDL 	Cholesterol in	CiLMviSoPbc
2965-2	Specific gravity of Urine	Specific gravity of Urine	Specific gravity of Urine	Specific gravity	SgoU
1968-7	Bilirubin.direct [Mass/volume] in Serum or Plasma	Bilirubin.direct [Mass/volume] in Serum or Plasma	Bilirubin	Bilirubin	BdMviSoP
17856-6	Hemoglobin A1c/Hemoglobin.total in Blood by HPLC	Hemoglobin A1c/Hemoglobin.total in Blood by HPLC	Hemoglobin A1c	Hemoglobin A1c	HAHtiBbH
3024-7	Thyroxine (T4) free [Mass/volume] in Serum or Plasma	Thyroxine (T4) free [Mass/volume] in Serum or Plasma	Thyroxine 	Thyroxine 	TTfMviSoP
27353-2	Glucose mean value [Mass/volume] in Blood Estimated from glycated hemoglobin	Glucose mean value Estimated from glycated hemoglobin	Glucose mean value 	Glucose mean	GmvMviBEfgh
2132-9	Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma	Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma	Cobalamin 	Cobalamin 	CVBMviSoP
18262-6	Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay	Cholesterol in LDL [Mass/volume] by Direct assay	Cholesterol in LDL 	Cholesterol in	CiLMviSoPbDa
2857-1	Prostate specific Ag [Mass/volume] in Serum or Plasma	Prostate specific Ag [Mass/volume] in Serum or Plasma	Prostate specific Ag 	Prostate specific	PsAMviSoP
