dataset	algorithm	parameters	seed	accuracy	f1_macro	bal_accuracy	roc_auc	time
geis_331.0_cutoff365	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.0001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	11085	0.7832630945213727	0.7827963176064443	0.7826337638376384	0.8444048945206434	451.489839095
geis_331.0_cutoff365	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=log2,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	14899	0.7639975918121613	0.7639044002680366	0.7641998990848036	0.838364593845333	460.070472785
geis_331.0_cutoff365	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=log2,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.0001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	27164	0.7706201083684527	0.7697856722692284	0.7703165098374679	0.8431210218787607	451.760401065
geis_331.0_cutoff365	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	3674	0.7712221553281156	0.7712154383726493	0.7713850704715504	0.8368322603097269	491.025064697
geis_331.0_cutoff365	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	9168	0.75737507525587	0.7568109380455226	0.7572905551173796	0.8239740883362716	472.508548944
geis_331.0_cutoff365	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=None,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.0001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	16612	0.7591812161348586	0.7587649228802975	0.758706427978908	0.8190756843613498	493.588889163
geis_331.0_cutoff365	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	30993	0.7766405779650812	0.7765770880851821	0.7766735582722465	0.8512384592187066	465.560713696
geis_331.0_cutoff365	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.0001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	1188	0.7700180614087899	0.7700139767267202	0.7701670436749608	0.8321979583550838	453.155391317
geis_331.0_cutoff365	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.0001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	7016	0.7670078266104756	0.7669862052840777	0.7670437740313516	0.8315485614535669	486.72378926499994
geis_331.0_cutoff365	RF	bootstrap=True,class_weight=balanced,criterion=gini,max_depth=None,max_features=sqrt,max_leaf_nodes=None,min_impurity_decrease=0.0,min_impurity_split=None,min_samples_leaf=0.001,min_samples_split=2,min_weight_fraction_leaf=0.0,n_estimators=500,n_jobs=1,oob_score=False,random_state=None,verbose=0,warm_start=False	4180	0.7814569536423841	0.7810455392072664	0.782538542981044	0.8544764971210604	487.16984586899997
