dataset	algorithm	parameters	seed	accuracy	f1_macro	bal_accuracy	roc_auc	time
geis_530.81_cutoff365	ScaleLR	memory=None,steps=[('scale', StandardScaler(copy=True, with_mean=True, with_std=True)), ('lr', LogisticRegression(C=2.3357214690901213, class_weight=None, dual=False          fit_intercept=True, intercept_scaling=1, max_iter=1000          multi_class='ovr', n_jobs=1, penalty='l1', random_state=9168          solver='saga', tol=0.0001, verbose=0, warm_start=False))],scale=StandardScaler(copy=True, with_mean=True, with_std=True),lr=LogisticRegression(C=2.3357214690901213, class_weight=None, dual=False          fit_intercept=True, intercept_scaling=1, max_iter=1000          multi_class='ovr', n_jobs=1, penalty='l1', random_state=9168          solver='saga', tol=0.0001, verbose=0, warm_start=False),scale__copy=True,scale__with_mean=True,scale__with_std=True,lr__C=2.3357214690901213,lr__class_weight=None,lr__dual=False,lr__fit_intercept=True,lr__intercept_scaling=1,lr__max_iter=1000,lr__multi_class=ovr,lr__n_jobs=1,lr__penalty=l1,lr__random_state=9168,lr__solver=saga,lr__tol=0.0001,lr__verbose=0,lr__warm_start=False	9168	0.7226587697179382	0.7226417715544489	0.7226422981607116	0.7895846184479804	19405.7286761
geis_530.81_cutoff365	ScaleLR	memory=None,steps=[('scale', StandardScaler(copy=True, with_mean=True, with_std=True)), ('lr', LogisticRegression(C=6.951927961775605, class_weight=None, dual=False          fit_intercept=True, intercept_scaling=1, max_iter=1000          multi_class='ovr', n_jobs=1, penalty='l1', random_state=30993          solver='saga', tol=0.0001, verbose=0, warm_start=False))],scale=StandardScaler(copy=True, with_mean=True, with_std=True),lr=LogisticRegression(C=6.951927961775605, class_weight=None, dual=False          fit_intercept=True, intercept_scaling=1, max_iter=1000          multi_class='ovr', n_jobs=1, penalty='l1', random_state=30993          solver='saga', tol=0.0001, verbose=0, warm_start=False),scale__copy=True,scale__with_mean=True,scale__with_std=True,lr__C=6.951927961775605,lr__class_weight=None,lr__dual=False,lr__fit_intercept=True,lr__intercept_scaling=1,lr__max_iter=1000,lr__multi_class=ovr,lr__n_jobs=1,lr__penalty=l1,lr__random_state=30993,lr__solver=saga,lr__tol=0.0001,lr__verbose=0,lr__warm_start=False	30993	0.722951973259837	0.7229500009308286	0.7229618566073435	0.7908238781674298	19943.082473530998
geis_530.81_cutoff365	ScaleLR	memory=None,steps=[('scale', StandardScaler(copy=True, with_mean=True, with_std=True)), ('lr', LogisticRegression(C=10.0, class_weight=None, dual=False, fit_intercept=True          intercept_scaling=1, max_iter=1000, multi_class='ovr', n_jobs=1          penalty='l1', random_state=7016, solver='saga', tol=0.0001          verbose=0, warm_start=False))],scale=StandardScaler(copy=True, with_mean=True, with_std=True),lr=LogisticRegression(C=10.0, class_weight=None, dual=False, fit_intercept=True          intercept_scaling=1, max_iter=1000, multi_class='ovr', n_jobs=1          penalty='l1', random_state=7016, solver='saga', tol=0.0001          verbose=0, warm_start=False),scale__copy=True,scale__with_mean=True,scale__with_std=True,lr__C=10.0,lr__class_weight=None,lr__dual=False,lr__fit_intercept=True,lr__intercept_scaling=1,lr__max_iter=1000,lr__multi_class=ovr,lr__n_jobs=1,lr__penalty=l1,lr__random_state=7016,lr__solver=saga,lr__tol=0.0001,lr__verbose=0,lr__warm_start=False	7016	0.7229812936140269	0.7229812898036536	0.7229838960040171	0.791585904324072	20354.126854649003
geis_530.81_cutoff365	ScaleLR	memory=None,steps=[('scale', StandardScaler(copy=True, with_mean=True, with_std=True)), ('lr', LogisticRegression(C=10.0, class_weight=None, dual=False, fit_intercept=True          intercept_scaling=1, max_iter=1000, multi_class='ovr', n_jobs=1          penalty='l1', random_state=27164, solver='saga', tol=0.0001          verbose=0, warm_start=False))],scale=StandardScaler(copy=True, with_mean=True, with_std=True),lr=LogisticRegression(C=10.0, class_weight=None, dual=False, fit_intercept=True          intercept_scaling=1, max_iter=1000, multi_class='ovr', n_jobs=1          penalty='l1', random_state=27164, solver='saga', tol=0.0001          verbose=0, warm_start=False),scale__copy=True,scale__with_mean=True,scale__with_std=True,lr__C=10.0,lr__class_weight=None,lr__dual=False,lr__fit_intercept=True,lr__intercept_scaling=1,lr__max_iter=1000,lr__multi_class=ovr,lr__n_jobs=1,lr__penalty=l1,lr__random_state=27164,lr__solver=saga,lr__tol=0.0001,lr__verbose=0,lr__warm_start=False	27164	0.720049258195039	0.7200488731242036	0.7200513339125095	0.7891402986422825	20708.164409629997
geis_530.81_cutoff365	ScaleLR	memory=None,steps=[('scale', StandardScaler(copy=True, with_mean=True, with_std=True)), ('lr', LogisticRegression(C=10.0, class_weight=None, dual=False, fit_intercept=True          intercept_scaling=1, max_iter=1000, multi_class='ovr', n_jobs=1          penalty='l1', random_state=16612, solver='saga', tol=0.0001          verbose=0, warm_start=False))],scale=StandardScaler(copy=True, with_mean=True, with_std=True),lr=LogisticRegression(C=10.0, class_weight=None, dual=False, fit_intercept=True          intercept_scaling=1, max_iter=1000, multi_class='ovr', n_jobs=1          penalty='l1', random_state=16612, solver='saga', tol=0.0001          verbose=0, warm_start=False),scale__copy=True,scale__with_mean=True,scale__with_std=True,lr__C=10.0,lr__class_weight=None,lr__dual=False,lr__fit_intercept=True,lr__intercept_scaling=1,lr__max_iter=1000,lr__multi_class=ovr,lr__n_jobs=1,lr__penalty=l1,lr__random_state=16612,lr__solver=saga,lr__tol=0.0001,lr__verbose=0,lr__warm_start=False	16612	0.7212220723626341	0.7212202998208822	0.7212516450334536	0.7882419088839578	20907.460837332997
geis_530.81_cutoff365	ScaleLR	memory=None,steps=[('scale', StandardScaler(copy=True, with_mean=True, with_std=True)), ('lr', LogisticRegression(C=6.951927961775605, class_weight=None, dual=False          fit_intercept=True, intercept_scaling=1, max_iter=1000          multi_class='ovr', n_jobs=1, penalty='l1', random_state=14899          solver='saga', tol=0.0001, verbose=0, warm_start=False))],scale=StandardScaler(copy=True, with_mean=True, with_std=True),lr=LogisticRegression(C=6.951927961775605, class_weight=None, dual=False          fit_intercept=True, intercept_scaling=1, max_iter=1000          multi_class='ovr', n_jobs=1, penalty='l1', random_state=14899          solver='saga', tol=0.0001, verbose=0, warm_start=False),scale__copy=True,scale__with_mean=True,scale__with_std=True,lr__C=6.951927961775605,lr__class_weight=None,lr__dual=False,lr__fit_intercept=True,lr__intercept_scaling=1,lr__max_iter=1000,lr__multi_class=ovr,lr__n_jobs=1,lr__penalty=l1,lr__random_state=14899,lr__solver=saga,lr__tol=0.0001,lr__verbose=0,lr__warm_start=False	14899	0.7191989679235326	0.7191920731310883	0.7192044390672642	0.7887545847886045	21561.237817366
geis_530.81_cutoff365	ScaleLR	memory=None,steps=[('scale', StandardScaler(copy=True, with_mean=True, with_std=True)), ('lr', LogisticRegression(C=10.0, class_weight=None, dual=False, fit_intercept=True          intercept_scaling=1, max_iter=1000, multi_class='ovr', n_jobs=1          penalty='l1', random_state=11085, solver='saga', tol=0.0001          verbose=0, warm_start=False))],scale=StandardScaler(copy=True, with_mean=True, with_std=True),lr=LogisticRegression(C=10.0, class_weight=None, dual=False, fit_intercept=True          intercept_scaling=1, max_iter=1000, multi_class='ovr', n_jobs=1          penalty='l1', random_state=11085, solver='saga', tol=0.0001          verbose=0, warm_start=False),scale__copy=True,scale__with_mean=True,scale__with_std=True,lr__C=10.0,lr__class_weight=None,lr__dual=False,lr__fit_intercept=True,lr__intercept_scaling=1,lr__max_iter=1000,lr__multi_class=ovr,lr__n_jobs=1,lr__penalty=l1,lr__random_state=11085,lr__solver=saga,lr__tol=0.0001,lr__verbose=0,lr__warm_start=False	11085	0.7199319767782795	0.7199293725882763	0.7199365433279934	0.7883134949305394	23157.923198905
geis_530.81_cutoff365	ScaleLR	memory=None,steps=[('scale', StandardScaler(copy=True, with_mean=True, with_std=True)), ('lr', LogisticRegression(C=10.0, class_weight=None, dual=False, fit_intercept=True          intercept_scaling=1, max_iter=1000, multi_class='ovr', n_jobs=1          penalty='l1', random_state=1188, solver='saga', tol=0.0001          verbose=0, warm_start=False))],scale=StandardScaler(copy=True, with_mean=True, with_std=True),lr=LogisticRegression(C=10.0, class_weight=None, dual=False, fit_intercept=True          intercept_scaling=1, max_iter=1000, multi_class='ovr', n_jobs=1          penalty='l1', random_state=1188, solver='saga', tol=0.0001          verbose=0, warm_start=False),scale__copy=True,scale__with_mean=True,scale__with_std=True,lr__C=10.0,lr__class_weight=None,lr__dual=False,lr__fit_intercept=True,lr__intercept_scaling=1,lr__max_iter=1000,lr__multi_class=ovr,lr__n_jobs=1,lr__penalty=l1,lr__random_state=1188,lr__solver=saga,lr__tol=0.0001,lr__verbose=0,lr__warm_start=False	1188	0.7205770245704568	0.7205734491612354	0.7205860347573678	0.7884560618279457	25236.445871786
geis_530.81_cutoff365	ScaleLR	memory=None,steps=[('scale', StandardScaler(copy=True, with_mean=True, with_std=True)), ('lr', LogisticRegression(C=10.0, class_weight=None, dual=False, fit_intercept=True          intercept_scaling=1, max_iter=1000, multi_class='ovr', n_jobs=1          penalty='l1', random_state=4180, solver='saga', tol=0.0001          verbose=0, warm_start=False))],scale=StandardScaler(copy=True, with_mean=True, with_std=True),lr=LogisticRegression(C=10.0, class_weight=None, dual=False, fit_intercept=True          intercept_scaling=1, max_iter=1000, multi_class='ovr', n_jobs=1          penalty='l1', random_state=4180, solver='saga', tol=0.0001          verbose=0, warm_start=False),scale__copy=True,scale__with_mean=True,scale__with_std=True,lr__C=10.0,lr__class_weight=None,lr__dual=False,lr__fit_intercept=True,lr__intercept_scaling=1,lr__max_iter=1000,lr__multi_class=ovr,lr__n_jobs=1,lr__penalty=l1,lr__random_state=4180,lr__solver=saga,lr__tol=0.0001,lr__verbose=0,lr__warm_start=False	4180	0.7201372192576087	0.7201355618003942	0.7201427051604488	0.7883057026235	30468.579833962
geis_530.81_cutoff365	ScaleLR	memory=None,steps=[('scale', StandardScaler(copy=True, with_mean=True, with_std=True)), ('lr', LogisticRegression(C=10.0, class_weight=None, dual=False, fit_intercept=True          intercept_scaling=1, max_iter=1000, multi_class='ovr', n_jobs=1          penalty='l1', random_state=3674, solver='saga', tol=0.0001          verbose=0, warm_start=False))],scale=StandardScaler(copy=True, with_mean=True, with_std=True),lr=LogisticRegression(C=10.0, class_weight=None, dual=False, fit_intercept=True          intercept_scaling=1, max_iter=1000, multi_class='ovr', n_jobs=1          penalty='l1', random_state=3674, solver='saga', tol=0.0001          verbose=0, warm_start=False),scale__copy=True,scale__with_mean=True,scale__with_std=True,lr__C=10.0,lr__class_weight=None,lr__dual=False,lr__fit_intercept=True,lr__intercept_scaling=1,lr__max_iter=1000,lr__multi_class=ovr,lr__n_jobs=1,lr__penalty=l1,lr__random_state=3674,lr__solver=saga,lr__tol=0.0001,lr__verbose=0,lr__warm_start=False	3674	0.722951973259837	0.7229496389014416	0.7230262777458556	0.7909459868487897	31090.433803362997
